Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
緣毛松蘭	Gastrochilus ciliaris F. Maek.\nORCHIDACEAE(蘭科)
何氏松蘭	Gastrochilus hoii T. P. Lin\nORCHIDACEAE(蘭科)
合歡松蘭	Gastrochilus rantabunensis C. Chow. ex T. P. Lin\nORCHIDACEAE(蘭科)
紅檜松蘭	Gastrochilus raraensis Fukuy.\nORCHIDACEAE(蘭科)
金松蘭	Gastrochilus linii Ormerod\nORCHIDACEAE(蘭科)
高赤箭	Gastrodia elata Bl.\nORCHIDACEAE(蘭科)
細赤箭	Gastrodia gracilis Bl.\nORCHIDACEAE(蘭科)
爪哇赤箭	Gastrodia javanica (Bl.) Lindl.\nORCHIDACEAE(蘭科)
無蕊喙赤箭	Gastrodia appendiculata C. S. Leou et N. J. Chung.\nORCHIDACEAE(蘭科)
八代赤箭	Gastrodia confusa Honda et Tuyama.\nORCHIDACEAE(蘭科)
夏赤箭	Gastrodia flavilabella S. S. Ying\nORCHIDACEAE(蘭科)
春赤箭	Gastrodia fontinalis T. P. Lin\nORCHIDACEAE(蘭科)
冬赤箭	Gastrodia pubilabiata Sawa\nORCHIDACEAE(蘭科)
秋赤箭	Gastrodia peichatieniana S. S. Ying\nORCHIDACEAE(蘭科)
垂頭地寶蘭	Geodorum densiflorum (Lam.) Schltr.\nORCHIDACEAE(蘭科)
阿里山斑葉蘭	Goodyera arisanensis Hayata\nORCHIDACEAE(蘭科)
雙板斑葉蘭	Goodyera bilamellata Hayata\nORCHIDACEAE(蘭科)
厚唇斑葉蘭	Goodyera foliosa (Lindl.) Hook. f.\nORCHIDACEAE(蘭科)
尾唇斑葉蘭	Goodyera fumata Thwaites\nORCHIDACEAE(蘭科)
銀線蓮	Goodyera matsumurana Schltr.\nORCHIDACEAE(蘭科)
短穗斑葉蘭	Goodyera maximowicziana Makino\nORCHIDACEAE(蘭科)
南湖斑葉蘭	Goodyera nankoensis Fukuy.\nORCHIDACEAE(蘭科)
穗花斑葉蘭	Goodyera procera (Ker Gawl.) Hook. f.\nORCHIDACEAE(蘭科)
南投斑葉蘭	Goodyera repens (L.) R. Br.\nORCHIDACEAE(蘭科)
斑葉蘭	Goodyera schlechtendaliana Reichb. f.\nORCHIDACEAE(蘭科)
鳥嘴蓮	Goodyera velutina Maxim.\nORCHIDACEAE(蘭科)
綠花斑葉蘭	Goodyera viridiflora (Bl.) Bl.\nORCHIDACEAE(蘭科)
大花斑葉蘭	Goodyera biflora (Lindl.) Hook. f.\nORCHIDACEAE(蘭科)
大武斑葉蘭	Goodyera daibuzanensis Yamam.\nORCHIDACEAE(蘭科)
花格斑葉蘭	Goodyera kwangtungensis C. L. Tso\nORCHIDACEAE(蘭科)
哥綠懷蘭	Goodyera seikoomontana Yamam.\nORCHIDACEAE(蘭科)
蘭嶼金銀草	Goodyera yamiana Fukuy.\nORCHIDACEAE(蘭科)
小小班葉蘭	Goodyera yangmeshanensis T. P. Lin\nORCHIDACEAE(蘭科)
玉蜂蘭	Habenaria ciliolaris F. Kranzl.\nORCHIDACEAE(蘭科)
白鳳蘭	Habenaria dentata (Sw.) Schltr.\nORCHIDACEAE(蘭科)
鞭毛玉鳳蘭	Habenaria flagellifera Makino\nORCHIDACEAE(蘭科)
鵝毛玉鳳蘭	Habenaria lacertifera (Lindl.) Benth.\nORCHIDACEAE(蘭科)
長穗玉鳳蘭	Habenaria longiracema Fukuy.\nORCHIDACEAE(蘭科)
裂瓣玉鳳蘭	Habenaria polytricha Rolfe\nORCHIDACEAE(蘭科)
岩坡玉鳳蘭	Habenaria iyoensis Ohwi\nORCHIDACEAE(蘭科)
叉瓣玉鳳蘭	Habenaria pantlingiana Kraenzl.\nORCHIDACEAE(蘭科)
毛唇玉鳳蘭	Habenaria petelotii Gagnep.\nORCHIDACEAE(蘭科)
狹辦玉鳳蘭	Habenaria stenopetala Lindl.\nORCHIDACEAE(蘭科)
香蘭	Haraella retrocalla (Hayata) Kudo\nORCHIDACEAE(蘭科)
玉山一葉蘭	Hemipilia cordifolia Lindl.\nORCHIDACEAE(蘭科)
細葉零餘子草	Herminium lanceum (Thunb. ex Sm.) Vuijk\nORCHIDACEAE(蘭科)
白點伴蘭	Rhomboda tokioi (Fukuy.) Ormerod\nORCHIDACEAE(蘭科)
圓唇伴蘭	Hetaeria biloba (Ridl.) Seidnef. & J. J. Wood\nORCHIDACEAE(蘭科)
撬唇蘭	Holcoglossum quasipinifolium (Hayata) Schltr.\nORCHIDACEAE(蘭科)
蘭嶼袋唇蘭	Hylophila nipponica (Fukuy.) T. S. Liu & H. J. Su\nORCHIDACEAE(蘭科)
全唇皿柱蘭	Lecanorchis nigricans Honda\nORCHIDACEAE(蘭科)
日本皿柱蘭	Lecanorchis japonica Bl.\nORCHIDACEAE(蘭科)
紋皿柱蘭	Lecanorchis thalassica T. P. Lin\nORCHIDACEAE(蘭科)
白花羊耳蒜	Liparis amabilis Fukuy.\nORCHIDACEAE(蘭科)
雙葉羊耳蒜	Liparis auriculata Bl. ex Miq.\nORCHIDACEAE(蘭科)
小花羊耳蒜	Liparis caespitosa (Thouars) Lindl.\nORCHIDACEAE(蘭科)
齒唇羊耳蒜	Liparis henryi Rolfe\nORCHIDACEAE(蘭科)
明潭羊耳蒜	Liparis hensoaensis Kudo\nORCHIDACEAE(蘭科)
長葉羊耳蒜	Liparis nakaharai Hayata\nORCHIDACEAE(蘭科)
紅花羊耳蒜	Liparis nervosa (Thunb.) Lindl.\nORCHIDACEAE(蘭科)
大花羊耳蒜	Liparis nigra Seidenf.\nORCHIDACEAE(蘭科)
高士佛羊耳蒜	Liparis somai Hayata\nORCHIDACEAE(蘭科)
一葉羊耳蒜	Liparis bootanensis Griff.\nORCHIDACEAE(蘭科)
彎柱羊耳蒜	Liparis campylostalix Reichb. f.\nORCHIDACEAE(蘭科)
長腳羊耳蒜	Liparis condylobulbon Reichb. f.\nORCHIDACEAE(蘭科)
心葉羊耳蒜	Liparis cordifolia Hook.\nORCHIDACEAE(蘭科)
扁球羊耳蒜	Liparis elliptica Wight\nORCHIDACEAE(蘭科)
寶島羊耳蒜	Liparis formosana Reichb. f.\nORCHIDACEAE(蘭科)
恒春羊耳蒜	Liparis grossa Reichb. f.\nORCHIDACEAE(蘭科)
長穗羊耳蒜	Liparis japonica (Miq.) Maxim.\nORCHIDACEAE(蘭科)
尾唇羊耳蒜	Liparis krameri Franch. & Sav. var. sasakii (Hayata) T. Hashim.\nORCHIDACEAE(蘭科)
插天山羊耳蒜	Liparis sootenzanensis Fukuy.\nORCHIDACEAE(蘭科)
淡綠羊耳蒜	Liparis viridiflora (Bl.) Lindl.\nORCHIDACEAE(蘭科)
鬚唇羊耳蒜	Liparis wrayii Hook. f.\nORCHIDACEAE(蘭科)
大花雙葉蘭	Listera macrantha Fukuy.\nORCHIDACEAE(蘭科)
玉山雙葉蘭	Listera morrisonicola Hayata\nORCHIDACEAE(蘭科)
南湖雙葉蘭	Listera nankomontana Fukuy.\nORCHIDACEAE(蘭科)
假日本雙葉蘭	Listera pseudonipponica Fukuy.\nORCHIDACEAE(蘭科)
鈴木氏雙葉蘭	Listera suzukii Masam.\nORCHIDACEAE(蘭科)
大山雙葉蘭	Listera taizanensis Fukuy.\nORCHIDACEAE(蘭科)
日本雙葉蘭	Listera japonica Bl.\nORCHIDACEAE(蘭科)
關山雙葉蘭	Listera kuanshanensis H. J. Su\nORCHIDACEAE(蘭科)
梅峰雙葉蘭	Listera meifongensis H. J. Su & C. Y. Hu\nORCHIDACEAE(蘭科)
心唇金釵蘭	Luisia cordata Fukuy.\nORCHIDACEAE(蘭科)
金釵蘭	Luisia teres (Thunb.) Bl.\nORCHIDACEAE(蘭科)
台灣金釵蘭	Luisia megasepala Hayata\nORCHIDACEAE(蘭科)
裂唇軟葉蘭	Malaxis bancanoides Ames\nORCHIDACEAE(蘭科)
廣葉軟葉蘭	Malaxis latifolia J. E. Sm.\nORCHIDACEAE(蘭科)
凹唇軟葉蘭	Malaxis matsudae (Yamam.) Hatus.\nORCHIDACEAE(蘭科)
單葉軟葉蘭	Malaxis monophyllos (L.) Sw.\nORCHIDACEAE(蘭科)
小軟葉蘭	Malaxis microtatantha (Schltr.) T. Tang & F. T. Wangs\nORCHIDACEAE(蘭科)
紫花軟葉蘭	Malaxis purpurea (Lindl.) Kuntze.\nORCHIDACEAE(蘭科)
圓唇軟葉蘭	Malaxis ramosii Ames\nORCHIDACEAE(蘭科)
假蜘蛛蘭	Microtatorchis compacta (Ames) Schltr.\nORCHIDACEAE(蘭科)
韭葉蘭	Microtis unifolia (Forst.) Reichb. f.\nORCHIDACEAE(蘭科)
心葉葵蘭	Mischobulbum cordifolium (Hook. f.) Schltr.\nORCHIDACEAE(蘭科)
白花金唇蘭	Myrmechis drymoglossifolia Hayata\nORCHIDACEAE(蘭科)
風蘭	Neofinetia falcata (Thunb.) Hu\nORCHIDACEAE(蘭科)
東亞脈葉蘭	Nervilia aragoana Gaudich.\nORCHIDACEAE(蘭科)
台東脈葉蘭	Nervilia taitoensis (Hayata) Schltr.\nORCHIDACEAE(蘭科)
古氏脈葉蘭	Nervilia cumberlegei Seidenf. & Smitin.\nORCHIDACEAE(蘭科)
蘭嶼脈葉蘭	Nervilia lanyuensis S. S. Ying\nORCHIDACEAE(蘭科)
單花脈葉蘭	Nervilia nipponica Makino\nORCHIDACEAE(蘭科)
紫花脈葉蘭	Nervilia plicata (Andr.) Schltr.\nORCHIDACEAE(蘭科)
阿里山莪白蘭	Oberonia arisanensis Hayata\nORCHIDACEAE(蘭科)
二裂唇莪白蘭	Oberonia caulescens Lindl. ex Wall.\nORCHIDACEAE(蘭科)
大莪白蘭	Oberonia gigantea Fukuy.\nORCHIDACEAE(蘭科)
島嶼莪白蘭	Oberonia insularis Hayata\nORCHIDACEAE(蘭科)
台灣莪白蘭	Oberonia japonica (Maxim.) Makino\nORCHIDACEAE(蘭科)
裂瓣莪白蘭	Oberonia rosea Hook. f.\nORCHIDACEAE(蘭科)
細葉莪白蘭	Oberonia falcata King & Pantling\nORCHIDACEAE(蘭科)
小騎士蘭	Oberonia pumila (Fukuyama ex S. C. Chen & K. Y. Lang) S. S. Ying ex Ormerod\nORCHIDACEAE(蘭科)
密花小騎士蘭	Oberonia seidenfadenii (H. J. Su) Ormerod\nORCHIDACEAE(蘭科)
細花山蘭	Oreorchis patens (Lindl) Lindl.\nORCHIDACEAE(蘭科)
雙板山蘭	Oreorchis bilamellata Fukuy.\nORCHIDACEAE(蘭科)
密花山蘭	Oreorchis fargesii Finet.\nORCHIDACEAE(蘭科)
南湖山蘭	Oreorchis micrantha Lindl.\nORCHIDACEAE(蘭科)
粉口蘭	Pachystoma pubescens Bl.\nORCHIDACEAE(蘭科)
黃鶴頂蘭	Phaius flavus (Bl.) Lindl.\nORCHIDACEAE(蘭科)
細莖鶴頂蘭	Phaius mishmensis (Lindl. & Paxt.) Reichb. f.\nORCHIDACEAE(蘭科)
紅鶴頂蘭	Phaius tankervilleae (Banks ex L’Her.) Bl.\nORCHIDACEAE(蘭科)
粗莖鶴頂蘭	Phaius takeoi (Hayata) H. J. Su\nORCHIDACEAE(蘭科)
白蝴蝶蘭	Phalaenopsis aphrodite Reichb. f.\nORCHIDACEAE(蘭科)
粉紅蝴蝶蘭	Phalaenopsis equestris (Schauer) Reichb. f.\nORCHIDACEAE(蘭科)
烏來石山桃	Pholidota cantonensis Rolfe\nORCHIDACEAE(蘭科)
寶島芙樂蘭	Phreatia formosana Rolfe\nORCHIDACEAE(蘭科)
大芙樂蘭	Phreatia morii Hayata\nORCHIDACEAE(蘭科)
台灣芙樂蘭	Phreatia taiwaniana Fukuy.\nORCHIDACEAE(蘭科)
垂莖芙樂蘭	Phreatia caulescens Ames\nORCHIDACEAE(蘭科)
短距粉蝶蘭	Platanthera brevicalcarata Hayata\nORCHIDACEAE(蘭科)
狹唇粉蝶蘭	Platanthera stenoglossa Hayata\nORCHIDACEAE(蘭科)
惠粉蝶蘭	Platanthera mandarinorum Reichb. f. subsp. formosana T. P. Lin & K. Inoue\nORCHIDACEAE(蘭科)
厚唇粉蝶蘭	Platanthera mandarinorum Reichb. f. subsp. pachyglossa (Hayata) T. P. Lin\nORCHIDACEAE(蘭科)
卵唇粉蝶蘭	Platanthera minor (Miq.) Reichb. f.\nORCHIDACEAE(蘭科)
高山粉蝶蘭	Platanthera sachalinensis F. Schmidt\nORCHIDACEAE(蘭科)
陰粉蝶蘭	Platanthera yangmeiensis T. P. Lin\nORCHIDACEAE(蘭科)
長距粉蝶蘭	Platanthera longicalcarate Hayata\nORCHIDACEAE(蘭科)
台灣一葉蘭	Pleione bulbocodioides (Franch.) Rolfe\nORCHIDACEAE(蘭科)
小鬚唇蘭	Pogonia minor (Makino) Makino\nORCHIDACEAE(蘭科)
黃繡球蘭	Pomatocalpa acuminata (Rolfe) Schltr.\nORCHIDACEAE(蘭科)
紅小蝶蘭	Ponerorchis kiraishiensis (Hayata) Ohwi\nORCHIDACEAE(蘭科)
台灣小蝶蘭	Ponerorchis taiwanensis (Fukuy.) Ohwi\nORCHIDACEAE(蘭科)
高山小蝶蘭	Ponerorchis takasagomontana (Masam.）Ohwi\nORCHIDACEAE(蘭科)
紅斑蘭	Ponerorchis tominagai (Hayata) H. J. Su & J. J. Chen\nORCHIDACEAE(蘭科)
台灣肉蘭	Sarcophyton taiwanianum (Hayata) Garay\nORCHIDACEAE(蘭科)
蘆蘭	Schoenorchis vanoverberghii Ames\nORCHIDACEAE(蘭科)
紫苞舌蘭	Spathoglottis plicata Bl.\nORCHIDACEAE(蘭科)
綬草	Spiranthes sinensis (Pers.) Ames\nORCHIDACEAE(蘭科)
扁蜘蛛蘭	Taeniophyllum complanatum Fukuy.\nORCHIDACEAE(蘭科)
台灣蜘蛛蘭	Taeniophyllum formosanum Hayata\nORCHIDACEAE(蘭科)
蜘蛛蘭	Taeniophyllum glandulosum Bl.\nORCHIDACEAE(蘭科)
長葉杜鵑蘭	Tainia dunnii Rolfe\nORCHIDACEAE(蘭科)
闊葉杜鵑蘭	Tainia latifolia (Lindl.) Reichb. f.\nORCHIDACEAE(蘭科)
黃花小杜鵑蘭	Tainia hualienia S. S. Ying\nORCHIDACEAE(蘭科)
閉花八粉蘭	Thelasis pygmaea (Griff.) Bl.\nORCHIDACEAE(蘭科)
金唇風蘭	Thrixspermum fantasticum L. O. Williams\nORCHIDACEAE(蘭科)
台灣風蘭	Thrixspermum formosanum (Hayata) Schltr.\nORCHIDACEAE(蘭科)
厚葉風蘭	Thrixspermum subulatum Reichb. f.\nORCHIDACEAE(蘭科)
白毛風蘭	Thrixspermum annamense (Guill.) Garay\nORCHIDACEAE(蘭科)
異色風蘭	Thrixspermum eximium L. O. Williams\nORCHIDACEAE(蘭科)
黃蛾蘭	Thrixspermum laurisilvaticum (Fukuy.) Garay\nORCHIDACEAE(蘭科)
高士佛風蘭	Thrixspermum merguense (Hook. f.) Kuntze\nORCHIDACEAE(蘭科)
倒垂風蘭	Thrixspermum pensile Schltr.\nORCHIDACEAE(蘭科)
小白蛾蘭	Thrixspermum saruwatarii (Hayata) Schltr.\nORCHIDACEAE(蘭科)
南湖蠅蘭	Tipularia odorata Fukuy.\nORCHIDACEAE(蘭科)
短穗毛舌蘭	Trichoglottis rosea (Lindl.) Ames\nORCHIDACEAE(蘭科)
屈子花	Trichoglottis ionosma (Lindl.) J. J. Sm.\nORCHIDACEAE(蘭科)
東亞摺唇蘭	Tropidia angulosa Bl.\nORCHIDACEAE(蘭科)
仙茅摺唇蘭	Tropidia curculigoides Lindl.\nORCHIDACEAE(蘭科)
日本摺唇蘭	Tropidia nipponica Masam.\nORCHIDACEAE(蘭科)
相馬氏摺唇蘭	Tropidia somae Hayata\nORCHIDACEAE(蘭科)
管唇蘭	Tuberolabium kotoense Yamam.\nORCHIDACEAE(蘭科)
台灣舌唇蘭	Tulotis taiwanensis S. S. Ying\nORCHIDACEAE(蘭科)
長葉蜻蜓蘭	Tulotis devolii T. P. Lin & T. W. Hu\nORCHIDACEAE(蘭科)
雅美萬代蘭	Vanda lamellata Lindl.\nORCHIDACEAE(蘭科)
台灣萬代蘭	Papilionanthe taiwaniana (S. S. Ying) Ormerod\nORCHIDACEAE(蘭科)
台灣凡尼蘭	Vanilla albida Bl.\nORCHIDACEAE(蘭科)
綠葉旗唇蘭	Vexillabium integrum (Fukuy.) S. S. Ying\nORCHIDACEAE(蘭科)
紫葉旗唇蘭	Vexillabium yakushimense (Yamam.) Maek.\nORCHIDACEAE(蘭科)
二尾蘭	Vrydagzynea nuda Bl.\nORCHIDACEAE(蘭科)
長花柄蘭	Yoania japonica Maxim.\nORCHIDACEAE(蘭科)
關刀溪線柱蘭	Zeuxine kantokeiense Tatew. & Masam.\nORCHIDACEAE(蘭科)
台灣線柱蘭	Zeuxine nervosa (Wall. ex Lindl.) Benth. ex Clarle\nORCHIDACEAE(蘭科)
眉原線柱蘭	Zeuxine niijimai Tatew. & Masam.\nORCHIDACEAE(蘭科)
香線柱蘭	Zeuxine odorate Fukuy.\nORCHIDACEAE(蘭科)
線柱蘭	Zeuxine strateumatica (L.) Schltr.\nORCHIDACEAE(蘭科)
東部線柱蘭	Cheirostylis tabiyahanensis (Hayata) Pearce & Cribb\nORCHIDACEAE(蘭科)
白花線柱蘭	Zeuxine affinis (Lindl.) Benth. ex Hook. f.\nORCHIDACEAE(蘭科)
阿玉線柱蘭	Zeuxine agyokuana Fukuy.\nORCHIDACEAE(蘭科)
全唇線柱蘭	Zeuxine integrilabella C. S. Leou\nORCHIDACEAE(蘭科)
阿里山線柱蘭	Zeuxine reflexa King & Pantl.\nORCHIDACEAE(蘭科)
黃唇線柱蘭	Zeuxine sakagutii Tuyama\nORCHIDACEAE(蘭科)
毛鞘線柱蘭	Zeuxine tenuifolia Tuyama\nORCHIDACEAE(蘭科)
龍爪蘭	Arachnis labrosa (Lindl. & Paxt.) Reichb. f.\nORCHIDACEAE(蘭科)
寬唇苞葉蘭	Brachycorythis galeandra (Reichb. f.) Summerh.\nORCHIDACEAE(蘭科)
低藥蘭	Chamaeanthus wenzelii Ames\nORCHIDACEAE(蘭科)
肉果蘭	Cyrtosia javanica Bl.\nORCHIDACEAE(蘭科)
蔓莖山珊瑚	Erythrorchis altissima (Bl.) Bl.\nORCHIDACEAE(蘭科)
木槲	Flickingeria comata (Bl.) Hawkes\nORCHIDACEAE(蘭科)
淡色暫花蘭	Flickingeria pallens (Ridl.) Hawkes\nORCHIDACEAE(蘭科)
輻射暫花蘭	Flickingeria tairukounia (S. S. Ying) T. P. Lin\nORCHIDACEAE(蘭科)
短柱齒唇蘭	Odontochilus brevistylus Hook. f.\nORCHIDACEAE(蘭科)
紫葉齒唇蘭	Odontochilus elwesii Clarke ex Hook. f.\nORCHIDACEAE(蘭科)
單囊齒唇蘭	Odontochilus inabai (Hayata) Hayata ex T. P. Lin\nORCHIDACEAE(蘭科)
雙囊齒唇蘭	Odontochilus lanceolatus (Lindl.) Bl.\nORCHIDACEAE(蘭科)
貓鬚蘭	Peristylus calcaratus (Rolfe) S. Y. Hu\nORCHIDACEAE(蘭科)
台灣鷺草	Peristylus formosanus (Schltr.) T. P. Lin\nORCHIDACEAE(蘭科)
南投闊蕊蘭	Peristylus goodyeroides (D. Don) Lindl.\nORCHIDACEAE(蘭科)
裂唇闊蕊蘭	Peristylus lacertiferus (Lindl.) J. J. Sm.\nORCHIDACEAE(蘭科)
豹紋蘭	Staurochilus luchuensis (Rolfe) Fukuy.\nORCHIDACEAE(蘭科)
肉藥蘭	Stereosandra javanica Bl.\nORCHIDACEAE(蘭科)
錨柱蘭	Didymoplexiella siamensis (Rolfe ex Downie) Seidenf.\nORCHIDACEAE(蘭科)
著頦蘭	Epigeneium fargesii (Finet) Gagnep.\nORCHIDACEAE(蘭科)
蠟著頦蘭	Epigeneium nakaharae (Schltr.) Summerh.\nORCHIDACEAE(蘭科)
綠花寶石蘭	Sunipia andersonii (King & Pantl.) P. F. Hunt\nORCHIDACEAE(蘭科)
細花軟葉蘭	Didiciea cunninghami King & Prain\nORCHIDACEAE(蘭科)
鳥巢蘭	Neottia acuminata Schltr.\nORCHIDACEAE(蘭科)
綠花安蘭	Ania penangiana (Hook. f.) Summerh.\nORCHIDACEAE(蘭科)
櫻井草	Petrosavia sakuraii (Makino) J. J. Sm. ex Steenis\nPETROSAVIACEAE
錫蘭霉草	Sciaphila secundiflora Thwaites ex Benth.\nTRIURIDACEAE
多枝霉草	Sciaphila ramosa Fukuy. & T. Suzuki\nTRIURIDACEAE
長苞斑葉蘭	Goodyera rubicunda (Blume) Lindl.\nORCHIDACEAE(蘭科)
綠葉蔓石松	Lycopodium taiwanense Kuo\nLYCOPODIACEAE
大羽陰地蕨	Botrychium ternatum (Thunb.) Sw.\nOPHIOGLOSSACEAE
狹葉瓶爾小草	Ophioglossum austroasiaticum Nishida\nOPHIOGLOSSACEAE
分株假紫萁	Osmunda cinnamomea L.\nOSMUNDACEAE
台灣絨假紫萁	Osmunda claytoniana L.\nOSMUNDACEAE
大羽芒萁	Dicranopteris taiwanensis Ching et Chiu\nGLEICHENIACEAE
高山瓶蕨	Crepidomanes schmidtianum (Zenker ex Taschn.) K. lwats. var. latifrons (v. d. Bosch) K. lwats.\nHYMENOPHYLLACEAE
菲律賓金狗毛蕨	Cibotium taiwanense Kuo\nDICKSONIACEAE
闊片陵齒蕨	Lindsaea chienii Ching\nLINDSAEACEAE
三角葉陵齒蕨	Lindsaea javanensis Bl.\nLINDSAEACEAE
小膜蓋蕨	Araiostegia parvipinnata (Hayata) Copel.\nDAVALLIACEAE
川上氏擬鱗毛蕨	Ctenitis kawakamii (Hayata) Ching\nASPIDIACEAE
網脈突齒蕨	Pleocnemia cumingiana Presl\nASPIDIACEAE
突齒蕨	Pteridrys cnemidaria (Christ) C. Chr. & Ching\nASPIDIACEAE
觀音三叉蕨	Tectaria coadunata (Wall.) C. Chr.\nASPIDIACEAE
紅苞鱗毛蕨	Dryopteris subintegriloba Serizawa\nDRYOPTERIDACEAE
大實蕨	Bolbitis heteroclita (Pr.) Ching\nLOMARIOPSIDACEAE
小毛蕨	Cyclosorus acuminatus (Houtt.) Nakai ex H. Ito\nTHELYPTERIDACEAE
密腺小毛蕨	Cyclosorus aridus (Don) Ching\nTHELYPTERIDACEAE
野小毛蕨	Cyclosorus dentatus (Forssk.) Ching\nTHELYPTERIDACEAE
微縮小毛蕨	Cyclosorus ensifer (Tagawa) Shieh\nTHELYPTERIDACEAE
縮羽毛蕨	Cyclosorus papilio (Hope) Ching\nTHELYPTERIDACEAE
密毛小毛蕨	Cyclosorus parasiticus (L.) Farw.\nTHELYPTERIDACEAE
密腺毛蕨	Cyclosorus subpubescens (Bl.) Ching\nTHELYPTERIDACEAE
台灣圓腺蕨	Cyclosorus taiwanensis (C. Chr.) H. Ito\nTHELYPTERIDACEAE
稀毛蕨	Cyclosorus truncatus (Poir.) Farw.\nTHELYPTERIDACEAE
琉球新月蕨	Pronephrium cuspidatum (Bl.) Holtt.\nTHELYPTERIDACEAE
三葉新月蕨	Pronephrium triphyllum (Sw.) Holtt.\nTHELYPTERIDACEAE
毛柄凸軸蕨	Thelypteris uraiensis (Rosenst.) Ching\nTHELYPTERIDACEAE
蹄蓋蕨	Athyrium delavayii Christ\nATHYRIACEAE
糙柄雙蓋蕨	Diplazium asperum Bl.\nATHYRIACEAE
霧社雙蓋蕨	Diplazium megaphyllum (Bak.) Christ\nATHYRIACEAE
鱗柄雙蓋蕨	Diplazium squamigerum (Mett.) Matsum.\nATHYRIACEAE
黃鱗鐵角蕨	Asplenium neolaserpitiifolium Tardieu & Ching\nASPLENIACEAE
橢圓線蕨	Colysis pothifolia (Don) Presl\nPOLYPODIACEAE
伏石蕨	Lemmaphyllum microphyllum Presl\nPOLYPODIACEAE
密葉劍蕨	Loxogramme chinensis Ching\nPOLYPODIACEAE
捲葉蕨	Saxiglossum angustissimum (Gies.) Ching\nPOLYPODIACEAE
玉山圓柏	Juniperus squamata Buch.-Ham. apud Lamb.\nCUPRESSACEAE
台灣胡桃	Juglans cathayensis Dode\nJUGLANDACEAE
阿里山柳	Salix fulvopubescens Hayata\nSALICACEAE
台灣榿木	Alnus formosana (Burkill ex Forbes & Hemsl.) Makino\nBETULACEAE
白校欑	Castanopsis cuspidata (Thunb. ex Murray) Schottky var. carlesii (Hemsl.) Yamazaki f. sessilis (Nakai) Liao\nFAGACEAE
羅浮錐	Castanopsis fabri Hance\nFAGACEAE
栲	Castanopsis fargesii Fr.\nFAGACEAE
台灣錐栗	Castanopsis formosana (Skan) Hayata\nFAGACEAE
赤栲	Castanopsis kawakamii Hayata\nFAGACEAE
草野錐果	Castanopsis kusanoi Hayata\nFAGACEAE
嶺南椆	Cyclobalanopsis championii (Benth.) Oerst.\nFAGACEAE
赤皮椆	Cyclobalanopsis gilva (Bl.) Oerst.\nFAGACEAE
校力	Lithocarpus amygdalifolius (Skan ex Forbes & Hemsl.) Hayata\nFAGACEAE
煙斗石櫟	Pasania cornea (Lour.) Liao\nFAGACEAE
柯	Pasania glabra (Thunb. ex Murray) Oerst.\nFAGACEAE
三斗柯	Pasania hancei (Benth.) Schottky var. ternaticupula (Hayata) Liao\nFAGACEAE
短尾柯	Pasania harlandii (Hance) Oerst.\nFAGACEAE
大葉校力	Pasania kawakamii (Hayata) Schottky\nFAGACEAE
青栲櫟	Quercus glandulifera Bl. var. brevipetiolata (A. DC.) Nakai\nFAGACEAE
塔塔加高山櫟	Quercus tatakaensis Tomiya\nFAGACEAE
榔榆	Ulmus parvifolia Jacq.\nULMACEAE
雞油	Zelkova serrata (Thunb.) Makino\nULMACEAE
金氏榕	Ficus ampelas Burm. f.\nMORACEAE
大果榕	Ficus aurantiaca Griff. var. parvifolia (Corner) Corner\nMORACEAE
垂榕	Ficus benjamina L.\nMORACEAE
大葉赤榕	Ficus caulocarpa (Miq.) Miq.\nMORACEAE
大赦婆樹	Ficus esquiroliana L'evl.\nMORACEAE
水同木	Ficus fistulosa Reinw. ex Bl.\nMORACEAE
台灣天仙果	Ficus formosana Maxim.\nMORACEAE
糙葉榕	Ficus irisana Elm.\nMORACEAE
正榕	Ficus microcarpa L. f.\nMORACEAE
謝氏榕	Ficus microcarpa L. f. var. crassifolia (Shieh) Liao\nMORACEAE
九丁樹	Ficus nervosa Heyne ex Roth.\nMORACEAE
大冇榕	Ficus septica Burm. f.\nMORACEAE
山榕	Ficus superba (Miq.) Miq. var. japonica Miq.\nMORACEAE
島榕	Ficus virgata Reinw. ex Bl.\nMORACEAE
刺格	Maclura cochinchinensis (Lour.) Corner\nMORACEAE
小苧麻	Boehmeria longispica Steud.\nURTICACEAE(蕁麻科)
柄果苧麻	Boehmeria wattersii (Hance) Shih & Yang\nURTICACEAE(蕁麻科)
蘭嶼咬人狗	Dendrocnide kotoensis (Hayata ex Yamamoto) Shih & Yang\nURTICACEAE(蕁麻科)
恆春咬人狗	Dendrocnide meyeniana (Walp.) Chew\nURTICACEAE(蕁麻科)
裂葉赤車使者	Elatostema trilobulatum (Hayata) Yamazaki\nURTICACEAE(蕁麻科)
脈果石薯	Gonostegia matsudai (Yamamoto ) Yamamoto & Masam.\nURTICACEAE(蕁麻科)
阿里山赤車使者	Pellionia radicans (Sieb. & Zucc.) Wedd.\nURTICACEAE(蕁麻科)
恆春冷水麻	Pilea plataniflora C. H. Wright\nURTICACEAE(蕁麻科)
微齒冷水麻	Pilea rotundinucula Hayata\nURTICACEAE(蕁麻科)
咬人貓	Urtica thunbergiana Sieb. & Zucc.\nURTICACEAE(蕁麻科)
